id1,id2
1,4436
2,3379
3,18
3,582
3,1634
3,5330
4,5
4,11
4,23
4,50
4,285
4,1479
5,11
5,15
5,18
5,24
5,51
5,60
5,64
5,171
5,285
5,425
5,497
5,529
5,606
5,1479
5,1998
5,2377
5,2587
5,2823
5,3264
5,3432
5,4084
5,4231
5,4558
5,4589
5,5774
6,99
6,2683
6,4317
6,4737
6,5366
7,39
7,146
7,5014
8,36
9,156
9,3280
9,4504
10,48
10,405
10,1012
10,4946
11,18
11,51
11,64
11,159
11,285
11,1634
11,2111
11,5252
12,13
12,440
13,72
14,2735
15,60
15,1024
15,1916
15,1998
15,2057
15,2222
15,2587
15,2823
15,3432
15,4231
15,4589
16,29
16,900
16,2639
17,29
17,39
17,45
17,1528
17,1578
17,1811
17,1892
17,2082
17,3033
17,5330
18,29
18,47
18,51
18,65
18,84
18,285
18,497
18,618
18,1525
18,2377
18,3660
18,5690
19,1853
19,4238
20,951
20,1592
20,3205
20,5072
21,3150
22,81
22,1314
22,1607
22,2168
22,2638
22,3112
22,5826
23,38
23,41
23,159
23,1982
23,2132
25,137
25,170
25,4573
25,4718
26,1114
27,45
27,3271
27,4208
28,2119
28,2860
29,46
29,900
29,1413
29,2639
29,3115
30,736
30,2673
31,1389
31,1469
31,1665
31,2629
31,5896
32,1426
33,1437
33,1705
33,3087
34,84
34,120
34,190
34,285
34,1542
34,2582
34,2784
35,2632
36,170
36,700
37,71
37,1755
37,1978
37,2377
37,2673
37,4251
38,41
38,139
38,345
38,535
38,726
38,756
38,794
38,842
38,940
38,1146
38,1634
38,1703
38,1978
38,1980
38,2377
38,2559
38,2736
38,3379
38,4145
38,5292
38,5872
39,46
39,426
39,937
39,1413
39,1578
39,2082
39,2223
39,2898
39,3499
39,5877
39,6333
40,43
40,197
40,242
41,540
41,2610
42,2249
44,2139
44,2721
44,3638
44,3936
44,4595
44,4645
44,4896
44,5882
45,121
45,4536
45,5252
46,64
46,161
46,206
46,775
46,1413
46,1578
46,1893
46,2619
46,2838
46,3193
46,4436
47,65
47,77
47,106
47,206
47,497
47,547
47,890
47,1219
47,1270
47,1277
47,4241
48,2529
49,3091
49,3796
49,5673
50,242
50,798
50,1707
51,144
51,145
51,242
51,270
51,285
51,591
51,618
51,889
51,1025
51,1525
51,1634
51,2377
51,3605
51,3660
51,4224
52,2458
52,3732
52,5531
53,1516
53,3439
54,3780
55,390
55,1758
55,2527
55,3505
55,4265
55,4837
55,5134
55,5512
55,5558
55,5600
56,2288
57,150
57,223
57,353
57,1007
57,4446
58,81
58,1845
58,1898
58,3394
58,5839
58,5861
59,324
60,1479
60,1998
60,2377
60,2587
60,3432
60,4589
61,781
61,3009
62,1071
62,6345
63,5555
64,191
64,1982
64,2838
65,76
65,135
65,248
65,310
65,438
65,497
65,694
65,1219
65,1228
65,1898
65,2349
66,107
66,1671
66,4290
67,1747
67,2567
68,1482
68,1950
68,2870
68,3587
68,4436
68,6209
69,327
69,887
69,6261
70,1397
70,4868
73,291
73,597
74,5347
75,2441
76,135
77,1219
77,1962
78,725
78,1068
78,1715
78,3468
78,4613
79,96
80,146
80,890
80,5252
81,357
81,3394
82,303
82,843
83,1915
83,5449
84,190
85,279
86,3344
86,5807
87,5364
88,304
88,1862
89,460
89,2212
89,2969
89,5712
89,6186
90,337
90,2227
90,2992
91,258
91,3300
92,2493
92,4791
93,2001
93,5381
93,5756
94,513
94,1080
94,1348
94,5981
95,406
95,3093
96,161
96,206
96,1594
96,1704
97,2682
97,2967
97,5280
98,550
98,1041
98,1255
98,4597
98,5983
99,5366
100,102
100,1110
100,3806
101,2040
102,232
102,984
102,4419
103,1992
104,239
104,645
105,161
105,206
106,1219
106,1811
106,1898
106,2082
106,5819
107,848
107,1360
107,1745
107,1903
107,2078
107,4290
107,4464
108,2255
109,1067
109,1917
110,771
110,1917
110,2487
110,3435
110,3914
110,4683
110,5853
110,6321
111,1184
111,2514
112,182
112,1324
112,2276
112,2380
112,2827
113,798
114,1949
114,2859
114,3977
114,4183
114,4379
114,4444
114,4473
114,5408
114,5601
115,223
115,465
115,648
115,862
115,864
115,953
115,979
115,1059
115,1139
115,1363
115,1532
115,1556
115,1683
115,2152
115,2442
115,2485
115,3983
115,4027
115,4107
115,4359
115,4900
115,5204
115,6342
116,415
117,827
117,1272
117,1590
117,6007
118,1428
118,4397
119,489
119,5691
120,1097
120,2494
120,2582
120,5252
122,728
122,3608
123,2414
123,4932
124,1682
124,3513
124,4794
124,5415
125,5525
126,1356
127,1016
127,1360
128,4029
129,5208
130,518
130,6020
131,2233
131,3746
132,2694
132,2923
132,4228
132,4987
133,1443
134,939
135,285
135,1263
135,1898
135,2349
135,5917
136,3863
137,3649
137,4016
137,4376
138,624
138,980
138,3690
138,4464
138,5747
140,3452
140,5217
141,738
141,1628
141,2467
142,912
142,1023
142,1663
142,2372
142,5012
143,241
143,1973
143,2754
144,727
144,4732
145,2372
145,3453
145,6136
147,439
148,752
148,757
148,905
148,2519
148,2702
148,2943
149,3033
149,4953
149,5410
150,410
150,1984
150,5352
151,167
151,500
152,1671
152,2446
152,3275
153,5804
154,4784
155,4914
156,3280
157,521
157,2850
157,4174
157,4871
158,1712
158,2058
158,2671
158,4046
159,403
159,1982
159,2741
160,1572
160,3680
160,5311
161,206
161,474
161,1373
161,1970
161,2965
162,792
162,2869
162,5048
163,5508
164,1968
164,3963
164,4073
165,691
165,991
165,1103
165,1293
165,1408
165,2141
165,3581
165,3599
165,3817
165,4520
165,4899
165,5010
165,5125
165,5396
166,594
167,261
167,380
167,3340
167,3562
167,4056
167,6294
168,4901
168,6295
169,1215
169,2683
169,2832
170,1727
171,307
171,391
171,516
171,1452
171,2202
171,3028
172,2924
172,4049
173,568
173,4034
173,4801
174,874
174,1385
174,1688
174,2361
174,2379
174,2621
174,4845
175,463
175,933
175,1448
175,6088
176,438
177,527
177,1262
177,3833
177,4630
178,2446
179,314
179,383
179,3827
179,5028
180,550
180,3347
180,5195
181,2838
182,1574
182,2010
182,2049
182,5942
183,651
183,1002
183,1937
183,5469
184,6103
185,483
185,584
185,1690
186,1082
187,286
187,1315
188,543
188,5087
189,3081
189,5356
190,2242
190,2338
190,3340
190,3445
190,3749
190,5101
191,244
191,1467
191,2278
192,296
192,3415
193,968
194,1387
194,3399
194,5409
195,1021
196,1172
196,1379
196,1739
196,4302
196,4859
197,1236
198,2751
198,3932
199,1118
199,3246
199,4148
199,5314
200,1128
200,1602
200,2675
201,810
202,1101
203,305
203,3940
204,1101
204,1992
204,2184
204,2937
205,1138
205,2524
206,258
206,322
206,337
206,1373
206,1594
206,1811
206,1970
206,3797
207,4058
208,1084
208,1176
208,1556
208,2044
208,3384
208,3402
208,3592
209,4022
210,647
210,6102
211,3182
211,6380
212,1007
213,1962
214,337
214,3549
214,3827
214,6310
215,2174
215,5935
216,278
216,619
216,939
217,5070
217,5343
218,772
218,1482
218,3265
218,6034
219,3315
220,1968
221,455
221,505
221,709
221,1426
222,1317
223,246
223,249
223,465
223,576
223,1007
223,1378
223,1684
223,1940
223,2542
223,2588
223,2730
223,2753
223,3150
223,3643
223,4443
224,1331
225,939
225,1329
225,1443
225,2010
226,297
226,411
226,589
226,783
226,914
226,1106
226,1275
226,1576
226,2300
226,3434
226,3622
226,4034
226,4125
226,4843
226,5588
227,1990
227,2279
228,1319
228,3612
228,5084
229,235
229,4569
229,6201
230,811
230,2185
230,2345
230,3804
231,851
231,2623
232,839
232,5224
233,1327
233,2984
233,3600
233,4750
234,295
234,1162
234,4724
234,5569
235,1350
235,4158
236,1298
236,2071
237,2119
237,3729
237,5168
238,770
238,939
238,1239
238,2264
238,3376
239,575
239,1411
239,2273
239,2318
239,3340
239,3895
239,3987
239,4960
239,5230
240,630
240,1698
240,2652
240,2818
240,3154
240,3476
240,4072
240,4446
240,4518
240,5275
240,5763
241,5160
242,391
242,798
243,414
243,4338
244,595
244,857
244,1467
244,2181
244,2218
244,4207
245,928
246,350
246,465
246,645
246,1123
246,3024
246,3169
247,1002
247,1706
247,1885
247,2165
247,3069
247,3391
248,1228
249,953
249,962
249,978
249,2573
249,2730
249,3738
249,4107
250,1019
250,3944
250,4301
250,4458
250,5804
250,5970
251,5409
252,456
252,884
253,5870
254,1645
254,5372
254,5948
255,2448
255,4445
256,1196
256,4799
257,4435
257,5389
257,5830
258,5208
259,1414
259,1802
260,1217
260,1553
261,769
261,883
261,1876
261,2236
